symbol,bluechip_score,signal,confidence,close,rsi14,sma20,sma50,sma200,ema20,macd,macd_signal,bb_upper,bb_lower,volume_trend,bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,signal_strength,trend_strength,volume_momentum,pattern_confidence,trade_score
SAHAS,0.4656,HOLD,0.5167,589.0,70.45451813124829,561.385,555.18,585.0847,563.4236922431402,3.5934028155452324,0.5520955983175839,579.3912299160369,543.3787700839631,2.267541829084298,False,False,False,False,False,False,False,0.5167,1.0,1.0,0.0,0.70668
MFIL,0.4645,HOLD,0.5,845.0,64.35340886278806,794.6600000000001,767.86,656.5273,797.7504092686534,11.841121820501598,9.239011048176254,836.433796873918,752.8862031260821,1.8440955508880448,False,False,False,False,False,False,False,0.5,1.0,0.9220477754440224,0.0,0.6844095550888045
SHIVM,0.5401,HOLD,0.5,632.0,63.661030309156516,613.305,609.182,578.6716,615.1747982702643,2.173726289185197,0.6282714195456899,627.349062240323,599.260937759677,1.4144141945560478,False,False,False,False,False,False,False,0.5,1.0,0.7072070972780239,0.0,0.6414414194556048
HDL,0.5208,HOLD,0.55,1158.8,61.066734673404156,1140.7350000000001,1147.134,1232.8289,1142.8689499611107,-1.9890661894921777,-4.386721350470915,1154.2714264895062,1127.198573510494,0.9793032871692421,False,False,False,False,False,False,False,0.55,1.0,0.48965164358462104,0.0,0.6179303287169242
HRL,0.5456,HOLD,0.55,858.9,56.64317302825339,845.3399999999999,845.9920000000001,905.56145,845.6039699438899,-2.7284012569984952,-3.2684770361806113,868.2264841750458,822.453515824954,0.9443374580929095,False,False,False,False,False,False,False,0.55,1.0,0.47216872904645474,0.0,0.614433745809291
NTC,0.4568,HOLD,0.5,872.0,63.04963592230167,852.9,864.7139999999999,865.2733999999999,856.7597969805904,0.6432325365756242,-2.7332716292507295,869.5041212385677,836.2958787614323,0.9956187228209876,False,False,False,False,False,False,False,0.5,1.0,0.4978093614104938,0.0,0.5995618722820988
SBL,0.4531,HOLD,0.5,386.4,61.27994110704756,378.465,377.772,344.63375,378.7411596762441,-0.1176245542821448,-0.6490368894274641,389.78991896100575,367.1400810389942,0.9704485347153581,False,False,False,False,False,False,False,0.5,1.0,0.48522426735767904,0.0,0.5970448534715358
CIT,0.4501,HOLD,0.5,1803.0,65.03703711574673,1757.775,1787.124,1880.8810499999997,1765.5008031727232,-2.6479541059127314,-10.435547804460581,1791.5627508168552,1723.987249183145,0.9651440209485016,False,False,False,False,False,False,False,0.5,1.0,0.4825720104742508,0.0,0.5965144020948502
EBL,0.4639,HOLD,0.5,679.0,66.19343102606997,668.875,662.76,665.1386,669.0977822819157,2.5281513715594883,1.937745248585547,676.3218997434805,661.4281002565195,0.8527571296846138,False,False,False,False,False,False,False,0.5,1.0,0.4263785648423069,0.0,0.5852757129684614
NABIL,0.467,HOLD,0.5,504.0,64.93215397897401,497.36499999999995,495.644,504.13394999999997,497.2227600509711,0.8784169592909166,0.26489701492558076,501.49156349954444,493.23843650045546,0.8105842149469515,False,False,False,False,False,False,False,0.5,1.0,0.40529210747347577,0.0,0.5810584214946952
SANIMA,0.4573,HOLD,0.5,341.0,62.28237396399127,331.53,328.42,329.60654999999997,332.97488387695273,1.603909621735454,1.0539652374603095,339.03048419489363,324.0295158051063,0.6632260789713066,False,False,False,False,False,False,False,0.5,1.0,0.3316130394856533,0.0,0.5663226078971306
SCB,0.4561,HOLD,0.5,650.0,62.58121619760677,638.895,634.14,631.83715,640.7504365123526,3.532479801993645,2.425021832472525,650.7590500762,627.0309499238,0.42671104856593894,False,False,False,False,False,False,False,0.5,1.0,0.21335552428296947,0.0,0.5426711048565939
CHDC,0.4501,HOLD,0.5,2534.9,63.113683401137955,2436.225,2352.496,2474.35505,2453.085648090749,45.49507889167944,37.47682841730494,2586.2400571390026,2286.209942860997,0.4058626749176757,False,False,False,False,False,False,False,0.5,1.0,0.20293133745883785,0.0,0.5405862674917675
RADHI,0.5452,HOLD,0.5,873.5,63.91784268008457,852.6700000000001,801.052,758.61045,845.1654760424216,14.05963704557439,15.912616820109761,879.4744850921064,825.8655149078937,0.7957434525052387,False,False,False,False,False,False,False,0.5,0.5,0.39787172625261935,0.0,0.42957434525052385
AKJCL,0.4893,HOLD,0.5,371.9,67.05590332760681,354.085,266.202,218.57775,341.42556518469326,26.91721976944615,32.055904508921785,394.3902184162177,313.77978158378227,0.757725613352263,False,False,False,False,False,False,False,0.5,0.5,0.3788628066761315,0.0,0.4257725613352263
NGPL,0.5361,HOLD,0.5,433.9,59.94808010197562,424.53000000000003,409.68800000000005,392.4026,422.8904381141366,5.138605060188922,5.38542049172793,436.896355034609,412.1636449653911,0.7288584897769996,False,False,False,False,False,False,False,0.5,0.5,0.3644292448884998,0.0,0.42288584897769993
NRN,0.4671,HOLD,0.5,1552.0,52.611957311997514,1554.855,1474.406,1888.9886,1532.7607173099439,-2.7890758483613354,6.20879179779974,1670.9940360051396,1438.7159639948604,0.5012682130154217,False,False,False,False,False,False,False,0.5,0.5,0.25063410650771084,0.0,0.40012682130154215
UMHL,0.517,HOLD,0.5,630.5,56.26623599696495,628.6,602.8340000000001,554.2053,622.2320300158481,3.9997484930800056,5.599152003876998,665.1531768365247,592.0468231634753,0.3931955706315435,False,False,False,False,False,False,False,0.5,0.5,0.19659778531577174,0.0,0.38931955706315435
UNHPL,0.4774,HOLD,0.5,496.0,52.67979585508653,497.485,484.17199999999997,435.25245,491.4081987754289,2.2015065556947775,2.6889948380247723,523.9355317825325,471.0344682174676,0.3359905117627414,False,False,False,False,False,False,False,0.5,0.5,0.1679952558813707,0.0,0.38359905117627413
NRIC,0.5307,HOLD,0.5,1250.0,48.06981181626831,1251.77,1267.104,1342.4744999999998,1249.758299415971,-14.967981890081091,-13.946146711906096,1304.080011117915,1199.4599888820849,0.3873047242992959,False,False,False,False,False,False,False,0.5,0.0,0.19365236214964796,0.0,0.23873047242992962
